"","Date","Year","Month","Brand","Vehicle_Type_Group","Vehicle_Type","Model_Year","Fuel_Type","Gear","CCM","Horse_Power","Color","Body_Type","Seller","Seller_Status","Kilometers","Price"
"8101",2020-04-16,2020,"4","Ford","Focus","1.8 Comfort",2004,"Diesel","Manual","1601-1800 cc","101-125 HP","Black","Hatchback 5 Doors","Galery","2nd Hand",320000,40000
"8102",2020-04-18,2020,"4","Mercedes","200","200 D",1985,"Diesel","Manual","1801-2000 cc","Don't Know","White","Sedan","Galery","2nd Hand",340000,40000
"8103",2020-06-03,2020,"6","Mercedes","230","230",1988,"Gasoline","Automatic","1801-2000 cc","100 HP and below","Gray","Sedan","Galery","2nd Hand",198500,40000
"8104",2020-04-18,2020,"4","Mercedes","E Series","E 200 200",1993,"Gasoline","Manual","1801-2000 cc","Don't Know","Black","Sedan","Galery","2nd Hand",306000,40000
"8105",2020-04-18,2020,"4","Mercedes","E","Other",2006,"Diesel","Semi Automatic","1300 cc and below","Don't Know","Other","Other","Galery","2nd Hand",220000,40000
"8106",2020-03-30,2020,"3","Opel","Astra","1.6",2001,"Gasoline","Manual","1601-1800 cc","151-175 HP","White","Sedan","Owner","2nd Hand",220000,40000
"8107",2020-03-29,2020,"3","Opel","Corsa","1.3 CDTI Essentia",2005,"Diesel","Manual","1300 cc and below","100 HP and below","Smoked","Hatchback 5 Doors","Owner","2nd Hand",260000,40000
"8108",2020-05-09,2020,"5","Opel","Corsa","1.3 CDTI Essentia",2006,"Diesel","Manual","1300 cc and below","100 HP and below","Gray","Hatchback 5 Doors","Owner","2nd Hand",191000,40000
"8109",2020-06-16,2020,"6","Opel","Astra","1.4 Classic",2007,"Gasoline","Manual","1301-1600 cc","101-125 HP","Gray","Sedan","Galery","2nd Hand",300000,40000
"8110",2020-03-27,2020,"3","Peugeot","406","2.0 SV",2000,"Gasoline","Automatic","1801-2000 cc","126-150 HP","White","Sedan","Owner","2nd Hand",220000,40000
"8111",2020-06-15,2020,"6","Renault","Clio","1.4 Authentique",2008,"Gasoline","Manual","1301-1600 cc","100 HP and below","Other","Sedan","Galery","2nd Hand",280500,40000
"8112",2020-05-01,2020,"5","Fiat","Linea","1.3 Multijet Active Plus",2012,"Diesel","Manual","1301-1600 cc","100 HP and below","Black","Sedan","Owner","2nd Hand",580000,39999
"8113",2020-04-18,2020,"4","Hyundai","Accent Era","1.5 CRDi-VGT Team",2008,"Diesel","Manual","1301-1600 cc","Don't Know","Silver Gray","Sedan","Galery","2nd Hand",258000,39999
"8114",2020-06-16,2020,"6","Mercedes","200 E","200 E",1993,"Gasoline","Manual","1801-2000 cc","126-150 HP","Turquoise","Sedan","Owner","2nd Hand",388000,39999
"8115",2020-04-17,2020,"4","Opel","Corsa","1.2 Swing",1999,"Gasoline","Automatic","1300 cc and below","Don't Know","White","Hatchback 5 Doors","Galery","2nd Hand",166250,39950
"8116",2020-04-06,2020,"4","Fiat","Linea","1.3 Multijet Active Plus",2013,"Diesel","Manual","1300 cc and below","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",352000,39900
"8117",2020-04-18,2020,"4","Honda","Jazz","1.4 ES",2002,"Gasoline","Manual","1301-1600 cc","Don't Know","Red","Hatchback 5 Doors","Galery","2nd Hand",298500,39900
"8118",2020-06-03,2020,"6","Hyundai","Getz","1.5 CRDi VGT",2006,"Diesel","Manual","1301-1600 cc","101-125 HP","Dark Blue","Hatchback 5 Doors","Galery","2nd Hand",254000,39900
